Tablica początkowa, Sortowanie Grzebieniowe,  Sortowanie poprzez wybór
czas sortowania: 1.85990334 ms| czas sortowania: 47.4653244 ms
   Element nr 924: 915 | 915
   Element nr 925: 916 | 916
   Element nr 926: 916 | 916
   Element nr 927: 918 | 918
   Element nr 928: 918 | 918
   Element nr 929: 918 | 918
   Element nr 930: 919 | 919
   Element nr 931: 919 | 919
   Element nr 932: 922 | 922
   Element nr 933: 925 | 925
   Element nr 934: 926 | 926
   Element nr 935: 927 | 927
   Element nr 936: 928 | 928
   Element nr 937: 928 | 928
   Element nr 938: 930 | 930
   Element nr 939: 930 | 930
   Element nr 940: 930 | 930
   Element nr 941: 932 | 932
   Element nr 942: 932 | 932
   Element nr 943: 933 | 933
   Element nr 944: 933 | 933
   Element nr 945: 934 | 934
   Element nr 946: 934 | 934
   Element nr 947: 937 | 937
   Element nr 948: 937 | 937
   Element nr 949: 940 | 940
   Element nr 950: 940 | 940
   Element nr 951: 940 | 940
   Element nr 952: 943 | 943
   Element nr 953: 944 | 944
   Element nr 954: 944 | 944
   Element nr 955: 944 | 944
   Element nr 956: 946 | 946
   Element nr 957: 949 | 949
   Element nr 958: 950 | 950
   Element nr 959: 953 | 953
   Element nr 960: 954 | 954
   Element nr 961: 954 | 954
   Element nr 962: 954 | 954
   Element nr 963: 955 | 955
   Element nr 964: 956 | 956
   Element nr 965: 958 | 958
   Element nr 966: 961 | 961
   Element nr 967: 961 | 961
   Element nr 968: 961 | 961
   Element nr 969: 961 | 961
   Element nr 970: 963 | 963
   Element nr 971: 964 | 964
   Element nr 972: 970 | 970
   Element nr 973: 970 | 970
   Element nr 974: 971 | 971
   Element nr 975: 972 | 972
   Element nr 976: 972 | 972
   Element nr 977: 976 | 976
   Element nr 978: 977 | 977
   Element nr 979: 977 | 977
   Element nr 980: 977 | 977
   Element nr 981: 978 | 978
   Element nr 982: 978 | 978
   Element nr 983: 979 | 979
   Element nr 984: 980 | 980
   Element nr 985: 980 | 980
   Element nr 986: 984 | 984
   Element nr 987: 986 | 986
   Element nr 988: 987 | 987
   Element nr 989: 987 | 987
   Element nr 990: 990 | 990
   Element nr 991: 991 | 991
   Element nr 992: 991 | 991
   Element nr 993: 991 | 991
   Element nr 994: 993 | 993
   Element nr 995: 994 | 994
   Element nr 996: 996 | 996
   Element nr 997: 998 | 998
   Element nr 998: 999 | 999
   Element nr 999: 999 | 999
   Element nr 1000: 999 | 999


Program napisany z wykorzystaniem wersji:
 Python 3.10.6 (Linux)
